Nombre,Link,"Rock","Urbano","Latino","RB","Pop","Instrumental","Electrónico","duración","animadas","alegres","letra","conocidas"
Can't Stop - Red Hot Chili Peppers,https://www.youtube.com/watch?v=8DyziWtkfBw,0.1,0.16,0.16,0.66,0.16,0.33,0.16,0.50,0.1,0.1,0.83,0.83
More than words - Blazo,https://www.youtube.com/watch?v=mhCms8u7RpE,0.16,0.16,0.16,0.66,0.16,0.1,0.16,0.33,0.16,0.33,0.16,0.16
MOOD - LUCKY TAPES,https://www.youtube.com/watch?v=0cn0.16YTpDIUg,0.16,0.16,0.16,0.1,0.1,0.33,0.16,0.50,0.16,0.16,0.83,0.33
California Gurls - Katy Perry,https://www.youtube.com/watch?v=F57P9C4SAW4,0.16,0.50,0.16,0.16,0.1,0.16,0.16,0.33,0.1,0.1,0.66,0.1
Canon - Johann Pachelbel,https://www.youtube.com/watch?v=-kJ_zXp5j_0,0.16,0.16,0.16,0.16,0.16,0.1,0.16,0.50,0.16,0.66,0.16,0.66
Himno de la Alegría - Beethoven,https://www.youtube.com/watch?v=KFzXUqzvAFI,0.16,0.16,0.16,0.16,0.16,0.1,0.16,0.66,0.1,0.1,0.16,0.83
Pure Imagination - Dotan Negrin & Prismatic Mantis,https://www.youtube.com/watch?v=dmVnsFSZSfw,0.16,0.33,0.16,0.50,0.16,0.1,0.50,0.50,0.50,0.66,0.16,0.50
Fly Me To The Moon - Frank Sinatra,https://www.youtube.com/watch?v=rSrc7aulay8,0.16,0.16,0.16,0.1,0.50,0.33,0.16,0.16,0.50,0.83,0.1,0.66
Es por ti - Juanes,https://www.youtube.com/watch?v=-9l5t3MWss8,0.83,0.16,0.83,0.33,0.16,0.16,0.16,0.50,0.50,0.33,0.83,0.66
Disclosure - Latch,https://www.youtube.com/watch?v=93ASUImTedo,0.16,0.16,0.16,0.33,0.16,0.16,0.1,0.50,0.66,0.1,0.50,0.50
Middle - Dj Snake,https://www.youtube.com/watch?v=mOKqNxN4jWM,0.16,0.83,0.16,0.16,0.50,0.16,0.1,0.50,0.66,0.50,0.50,0.50
Closer - The chainsmoker,https://www.youtube.com/watch?v=PT0.33_F-0.16esPk,0.16,0.16,0.16,0.16,0.66,0.16,0.66,0.66,0.66,0.66,0.50,0.66
Girls like you - Maroon 5 ,https://www.youtube.com/watch?v=cBVGlBWQzuc,0.50,0.66,0.16,0.50,0.1,0.16,0.50,0.50,0.50,0.66,0.83,0.50
Control Z - Kaliza,https://www.youtube.com/watch?v=_lu76CWEVCY,0.33,0.50,0.16,0.33,0.50,0.33,0.83,0.33,0.33,0.33,0.66,0.16
Sonido Bestial - RICARDO RAY & BOBBY CRUZ,https://www.youtube.com/watch?v=eqwu0.33NpbQT8,0.16,0.33,0.1,0.33,0.50,0.83,0.33,0.83,0.1,0.83,0.50,0.83
Sin Sentimientos - grupo Niche,https://www.youtube.com/watch?v=OwbQMh7ItuU,0.16,0.50,0.1,0.33,0.33,0.50,0.16,0.50,0.66,0.50,0.66,0.83
Cuenta Regresiva - Gilberto Santa Rosa,https://www.youtube.com/watch?v=Zc0.163NAc7dvM,0.16,0.50,0.1,0.50,0.16,0.33,0.16,0.50,0.50,0.33,0.83,0.66
Mi libertad - Jerry Rivera y Voltio,https://www.youtube.com/watch?v=dH7bTCsNlNo,0.16,0.66,0.1,0.33,0.33,0.50,0.16,0.50,0.66,0.33,0.83,0.50
